Numer osobnika,Gatunek,Data z³apania,Waga samicy (mg),Waga kokonu (mg),Liczba jaj,Liczba prelarw/ embryo,Liczba larw/ juvenile,Liczba nimf,Liczba potomstwa ogó³em,Parazytoid TAK/NIE,Parazytoid stadium,D³ugoœæ g³owotu³owia [µm],Szerokoœæ g³owotu³owia [µm],Pomiar kokonu I [µm],Pomiar kokonu II [µm],Populacja
MIC_12,Pardosa lugubris,7/8/2019,18.1,12,,,30,,30,NIE,,2646,2195,3883,3719,MIC
MIC_13,Pardosa lugubris,7/8/2019,15.1,9.6,,25,,,25,NIE,,2396,1952,3511,3440,MIC
MIC_14,Pardosa lugubris,7/8/2019,16.1,9.9,27,,,,27,NIE,,2618,2000,3881,3379,MIC
MIC_15,Pardosa lugubris,7/8/2019,21.4,11.2,31,,,,31,NIE,,2862,2232,3618,3590,MIC
MIC_16,Pardosa lugubris,7/8/2019,16.4,12.5,,,29,,29,NIE,,2553,2029,3880,3724,MIC
MIC_17,Pardosa lugubris,7/8/2019,23.9,16.9,,,35,,35,NIE,,2883,2238,4189,4062,MIC
MIC_19,Pardosa lugubris,7/8/2019,20,6.8,,,,,,TAK,LARWA,2806,2177,4548,3658,MIC
MIC_1,Pardosa lugubris,7/12/2019,19.8,6.6,,,,,,TAK,POCZWARKA,2724,2150,4148,2777,MIC
MIC_2,Pardosa lugubris,7/12/2019,20.5,14.9,,,35,,35,NIE,,2852,2222,4015,3883,MIC
MIC_3,Pardosa lugubris,7/12/2019,13.9,7.1,9,,,,9,NIE,,2759,2087,3198,2329,MIC
MIC_4,Pardosa lugubris,7/12/2019,17.7,7.3,,,,,,TAK,POCZWARKA,2722,2210,4941,2985,MIC
MIC_5,Pardosa lugubris,7/12/2019,23.7,7.6,,,,,,TAK,POCZWARKA,2806,2289,4859,3315,MIC
MIC_6,Pardosa lugubris,7/12/2019,14.3,11.3,26,,,,26,NIE,,2583,1999,3620,3339,MIC
MIC_7,Pardosa lugubris,7/12/2019,18.3,8.7,,,,,,TAK,LARWA,2634,2236,3855,3720,MIC
MIC_8,Pardosa lugubris,7/12/2019,19,8.3,26,,,,26,NIE,,2875,2244,3858,3636,MIC
MIC_10,Pardosa lugubris,7/12/2019,15.4,12.8,25,,,,25,NIE,,2604,2085,3771,3473,MIC
MIC_1,Pardosa lugubris,7/18/2019,16.2,9.9,,,24,,24,NIE,,2603,2049,3419,3406,MIC
MIC_2,Pardosa lugubris,7/18/2019,16.4,6.6,,,,,,TAK,POCZWARKA,2780,2080,3862,2637,MIC
MIC_3,Pardosa lugubris,7/18/2019,12.6,4.7,,,,,,TAK,POCZWARKA,2488,1921,3692,2966,MIC
MIC_4,Pardosa lugubris,7/18/2019,18.5,10.9,,,,,,TAK,LARWA,2652,2070,3872,3566,MIC
MIC_5,Pardosa lugubris,7/18/2019,20.9,10.5,?,,,,,NIE,,2839,2162,3072,2530,MIC
MIC_6,Pardosa lugubris,7/18/2019,17.2,7.1,,,,,,TAK,POCZWARKA,2697,2135,3845,2763,MIC
MIC_7,Pardosa lugubris,7/18/2019,20.1,7.9,,,,,,TAK,POCZWARKA,2724,2143,4191,2780,MIC
MIC_8,Pardosa lugubris,7/18/2019,17.5,5.6,,,,,,TAK,POCZWARKA,2515,2064,3898,2409,MIC
MIC_9,Pardosa lugubris,7/18/2019,21.4,5.7,,,,,,TAK,POCZWARKA,2832,2172,3856,2714,MIC
MIC_10,Pardosa lugubris,7/18/2019,12.3,8.7,,,21,,21,NIE,,2474,1979,3799,3155,MIC
MIC_12,Pardosa lugubris,7/18/2019,15.6,4.8,,,,,,TAK,POCZWARKA,2261,1880,3560,2486,MIC
MIC_13,Pardosa lugubris,7/18/2019,16.7,11.2,,,26,,26,NIE,,2622,2013,3972,3618,MIC
MIC_14,Pardosa lugubris,7/18/2019,17.5,4,,,,,,TAK,POCZWARKA,2677,2087,3522,2512,MIC
MIC_15,Pardosa lugubris,7/18/2019,14.8,10.7,,,21,,21,NIE,,2551,1999,3727,3540,MIC
MIC_16,Pardosa lugubris,7/18/2019,20.3,12.2,,,29,,29,NIE,,2709,2173,4193,3693,MIC
MIC_17,Pardosa lugubris,7/18/2019,13.9,4.8,,,,,,TAK,POCZWARKA,2489,1889,3537,2295,MIC
MIC_18,Pardosa lugubris,7/18/2019,23.1,10.4,,,,,,TAK,LARWA,2727,2215,3927,3771,MIC
